Code;Species name;Occurrence;maxH;Wd;Sm;Shade;N;height;ShadeTol
ABBA;Abies balsamea;7759;25;0,34;7,6;5;1,66;tall;high
ACNE;Acer negundo;0;20;0,44;34;3,5;2,5;tall;high
ACNI;Acer nigrum;1;30;0,52;65;3;1,83;tall;high
ACPE;Acer pensylvanicum;665;10;0,44;41;3,5;2,22;medium;high
ACPL;Acer platanoides;0;15;0,51;172;4,2;1,99;medium;high
ACRU;Acer rubrum;3669;25;0,49;20;3,4;1,91;tall;high
ACSA;Acer saccharum;3113;35;0,56;65;4,8;1,83;tall;high
ACSI;Acer saccharinum;21;35;0,44;255;3,6;2,36;tall;high
ACSP;Acer spicatum;166;5;0,44;20;3,3;2,49;small;high
ALCR;Alnus crispa;1;3;0,37;0,35;1,5;2;small;average
ALRU;Alnus rugosa;40;5;0,37;0,42;1;2,98;small;high
AMSP;Amelanchier spp;29;10;0,66;5,5;3,4;1,82;medium;high
BEAL;Betula alleghaniensis;3000;25;0,55;1,02;3,2;2,2;tall;high
BEPA;Betula papyrifera;5763;25;0,48;0,33;1,5;2,31;tall;high
BEPO;Betula populifolia;209;12;0,45;0,11;1,5;1,79;medium;high
CABI;Catalpa bignonioides;NA;NA;NA;NA;NA;NA;NA;NA
CACA;Carpinus caroliniana;7;8;0,58;13;4,6;2,15;medium;high
CACO;Carya cordiformis;12;25;0,6;2920;2,1;2,6;tall;high
CAOV;Carya ovata;0;25;0,64;4545;3,4;2,09;tall;high
COAL;Cornus alternifolia;0;10;0,58;57;2;1,7;medium;high
COCO;Corylus cornuta;0;3;0,52;826;3;NA;small;average
COST;Cornus stolonifera;0;3;0,58;24;1;NA;small;average
CRSP;Crataegus spp;2;8;0,62;91;2,1;1,7;medium;high
EUAM;Euonymus americanus;NA;NA;NA;NA;NA;NA;NA;NA
FAGR;Fagus grandifolia;1173;25;0,56;286;4,8;2,04;tall;high
FRAM;Fraxinus americana;314;30;0,55;45;2,5;2,12;tall;high
FRNI;Fraxinus nigra;513;20;0,45;58;3;2,1;tall;high
FRPE;Fraxinus pennsylvanica;21;25;0,53;32;3,1;1,8;tall;high
JUCI;Juglans cinerea;16;25;0,36;15120;1,9;2,6;tall;high
JUNI;Juglans nigra;0;30;0,51;11340;1,9;2,96;tall;high
JUVI;Juniperus virginiana;0;15;0,44;9,86;1,28;1,64;medium;high
LALA;Larix laricina;499;25;0,48;1,6;1;1,36;tall;high
LITU;Liriodendron tulipifera;NA;NA;NA;NA;NA;NA;NA;NA
MASP;Malus spp;10;8;0,61;23;2,2;2,34;medium;high
NEMU;Nemopanthus mucronatus;0;5;NA;NA;2;1,62;small;high
OSVI;Ostrya virginiana;655;12;0,63;15;4,6;2,2;medium;high
PIAB;Picea abies;0;40;0,38;7,1;4,5;1,19;tall;high
PIBA;Pinus banksiana;1384;20;0,42;3,5;1,4;1,24;tall;high
PIGL;Picea glauca;3788;25;0,35;2,15;4,2;1,28;tall;high
PIMA;Picea mariana;6396;20;0,41;1,1;4,1;1,12;tall;high
PIRE;Pinus resinosa;151;25;0,39;8,7;1,9;1,17;tall;high
PIRU;Picea rubens;765;25;0,38;3,3;4,4;1,15;tall;high
PIST;Pinus strobus;736;30;0,36;17;3,2;1,42;tall;high
PLOC;Platanus occidentalis;0;30;0,46;2,3;2,9;2,04;tall;high
POBA;Populus balsamifera;190;25;0,37;0,3;1,3;1,95;tall;high
PODE;Populus deltoides;4;30;0,35;1,3;1,8;2,39;tall;high
POGR;Populus grandidenta;711;20;0,39;0,18;1,2;2,5;tall;high
POTR;Populus tremuloides;2790;25;0,37;0,15;1,2;2,16;tall;high
PRPE;Prunus pensylvanica;1248;12;0,36;32;1;2,4;medium;high
PRSE;Prunus serotina;248;22;0,47;94;2,5;2,48;tall;high
PRVI;Prunus virginiana;13;9;0,36;91;2,6;2,8;medium;high
QUAL;Quercus alba;15;35;0,6;3540;2,9;2,39;tall;high
QUBI;Quercus bicolor;3;22;0,64;3780;3;2,33;tall;high
QUMA;Quercus macrocarpa;19;15;0,58;6050;2,7;2,27;medium;high
QURU;Quercus rubra;585;25;0,56;3630;2,8;2,06;tall;high
SASP;Salix spp;426;7;0,36;0,2;1,5;2,5;medium;high
SOAM;Sorbus americana;338;10;0,42;2,8;2,6;2,17;medium;high
THOC;Thuja occidentalis ;1274;15;0,3;1,3;3,5;1,02;medium;high
TIAM;Tilia americana;515;35;0,32;15;4;2,94;tall;high
TSCA;Tsuga canadensis;619;30;0,4;9,1;4,8;0,99;tall;high
ULAM;Ulmus americana;244;35;0,46;6,4;3,1;2,07;tall;high
ULRU;Ulmus rubra;6;25;0,48;11,1;3,3;2,5;tall;high
ULTH;Ulmus thomasii;5;25;0,57;6,5;3,2;2,3;tall;high
VICA;Viburnum cassinoides;0;4;NA;16,4;3;2,08;small;high
VIPA;Viola palustris;NA;NA;NA;NA;NA;NA;NA;NA
