TropicosName,Name_in_tree,Voucher ,Paramo,ObservedMicrohabitat,Altitude,LPF_1,LPF_2,LPF_3,LPF_4,LPF_mean,Pina_1,Pina_2,Pina_3,Pina_mean
Eriosorus accrescens,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus angustus,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus ascendens,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus aureonitens,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus biardii,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus cheilanthoides,Eriosorus_cheilanthoides_328,PS328,1,0,3048,50,80,69,NA,66.33333333,0.4,0.5,NA,0.45
Eriosorus cheilanthoides,Eriosorus_cheilanthoides_9395,MK 9395,1,0,3050,47,50,55,NA,NA,0.9,0.9,0.8,0.866666667
Eriosorus congestus,Eriosorus_congestus_233,PS 233,0,1,2700,15,12,NA,NA,13.5,2.2,2.2,NA,2.2
Eriosorus elongatus,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus ewanii,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus flabellatus,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus flexuosus,Eriosorus_flexuosus_185,PS 185 ,1,1,2600,7,NA,NA,NA,7,6,NA,NA,NA
Eriosorus flexuosus,Eriosorus_flexuosus_215,PS 215,1,1,2600,NA,NA,NA,NA,NA,15,NA,NA,NA
Eriosorus flexuosus,Eriosorus_flexuosus_260,PS 260,1,1,2750,9,8,NA,NA,8.5,3.5,3.25,NA,3.375
Eriosorus flexuosus,Eriosorus_flexuosus_MK10461,MK104601,1,1,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus flexuosus,Eriosorus_flexuosus_273,PS 273,1,1,2644,6,4,6,NA,5.333333333,8,NA,NA,NA
Eriosorus glaberrimus,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus hirsutulus,Eriosorus_hirsutulus_276,PS 276,1,NA,3600,19,13,26,NA,19.33333333,0.9,0.9,NA,0.9
Eriosorus hirtus,Eriosorus_hirtus_321,PS 321,0,1,2039,15,14,14,17,15,2.5,2.25,2.4,2.383333333
Eriosorus hispidulus,Eriosorus_hispidulus_267,PS 267,1,1,2298,12,13,12,13,12.5,2.13,2.75,NA,2.44
Eriosorus hispidulus,Eriosorus_hispidulus_281,PS 281,1,1,3048,26,14,14,NA,18,1,0.6,NA,0.8
Eriosorus insignis,Eriosorus_insignis_3010,S3010,0,1,1300,6,9,NA,NA,7.5,2.5,4.5,NA,3.5
Eriosorus lechleri,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus lindigii,Eriosorus_lindigii_243,PS 243,1,1,3500,13,13,NA,NA,13,0.6,0.7,NA,0.65
Eriosorus longipetiolatus,Eriosorus_longipetiolatus,2194,1,1,3732,15,10,10,NA,11.66666667,0.65,0.65,0.65,0.65
Eriosorus madidiensis,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriosorus novogranatensis,Eriosorus_novogranatensis_278,PS 278,1,1,3600,10,7,NA,NA,8.5,2.25,2,NA,2.125
